Carimbo de data/hora,"Sabendo dessas informações, você consente que usemos seus dados aqui para uso exclusivo da nossa pesquisa acadêmica?",Marque a sua faixa etária:,Qual é o Campus do seu Curso?,Qual seu Curso de Graduação?,Qual período você esta cursando atualmente?,Você trabalha ou estagia?,"Se você trabalha ou estagia, qual a sua modalidade de trabalho?",Você participa de algum projeto de extensão?,"Caso não participe, aponte até 2 principais motivos",Selecione até 3 tipos de projetos ou atividades extracurriculares você mais se interessa,Classifique quanto a eficiência os meios para encontrar informações sobre oportunidades de projetos e de atividades extracurriculares [Sites da Proex],"Caso use outro meio, escreva-o abaixo",Você sente facilidade em se comunicar com professores e alunos de cursos de áreas diferentes?,"Se existisse uma plataforma que divulgasse somente os projetos de extensão dentre diferentes cursos, você acredita que aumentaria a visibilidade dos projetos?",Qual o principal meio que você busca por informações sobre oportunidades de projetos e atividades extracurriculares? [Linha 2],Classifique quanto a eficiência os meios para encontrar informações sobre oportunidades de projetos e de atividades extracurriculares [Contato diretamente com professor],Classifique quanto a eficiência os meios para encontrar informações sobre oportunidades de projetos e de atividades extracurriculares [E-mails da coordenação],Classifique quanto a eficiência os meios para encontrar informações sobre oportunidades de projetos e de atividades extracurriculares [Mural no prédio da faculdade],Qual o principal meio que você busca por informações sobre oportunidades de projetos e atividades extracurriculares? [Linha 5]
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
30/09/2023 15:07:01,Sim.,18 - 24 anos,Campus Niterói,Geografia - Licenciatura - Presencial,6º período,"Sim, aproximadamente 20h semanais.",Presencial.,"Sim, participo de um projeto voluntário (não possui bolsa).",,"Projetos de pesquisa, Atividades culturais",Indiferente,Divulgação dos Diretórios Acadêmicos,"Não, sinto dificuldade de me comunicar com ambos","Sim, bastante",,Muito eficiente,Eficiente,Pouco eficiente,
30/09/2023 15:16:03,Sim.,18 - 24 anos,Campus Niterói,Sistemas de Informação - Bacharelado - Presencial,1º período,"Sim, aproximadamente 40h semanais.",Remoto.,"Não participo, mas tenho interesse de participar de qualquer projeto (voluntário ou com bolsa).","Não consigo achar nenhum projeto, Piorizo outras atividades no momento",Projetos de empreendedorismo,Eficiente,,"Sim, sinto facilidade de me comunicar com ambos","Sim, bastante",,Eficiente,Muito eficiente,Indiferente,
30/09/2023 15:25:01,Sim.,18 - 24 anos,Campus Niterói,Sistemas de Informação - Bacharelado - Presencial,2º período,"Sim, aproximadamente 40h semanais.",Remoto.,"Não participo, mas tenho interesse de participar de qualquer projeto (voluntário ou com bolsa).","Falta de tempo, Não consigo achar nenhum projeto",Projetos de pesquisa,Não se aplica,,"Não, sinto dificuldade de me comunicar com ambos","Sim, bastante",,Eficiente,Pouco eficiente,Indiferente,
30/09/2023 15:25:29,Sim.,18 - 24 anos,Campus Niterói,Sistemas de Informação - Bacharelado - Presencial,4º período,"Sim, aproximadamente 40h semanais.",Remoto.,"Não participo, mas tenho interesse de participar de qualquer projeto (voluntário ou com bolsa).",Não consigo achar nenhum projeto,"Projetos de pesquisa, Projetos de empreendedorismo",Eficiente,,"Sim, sinto facilidade de me comunicar com ambos","Sim, bastante",,Eficiente,Muito eficiente,Eficiente,
